
year,month,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,humidity_pct,rainy_days,sun_hours
2024,January,-3.5,-7.7,1.0,21,58,3,7.0
2024,February,-0.8,-5.0,4.1,28,58,3,8.0
2024,March,4.2,-0.5,9.8,41,61,4,9.0
2024,April,10.7,5.6,16.3,73,65,5,10.0
2024,May,16.5,11.6,22.0,99,69,6,10.0
2024,June,21.5,17.3,26.3,144,73,7,10.0
2024,July,24.2,21.4,27.7,319,83,12,7.0
2024,August,24.8,21.7,28.4,249,81,11,9.0
2024,September,20.3,16.3,24.6,131,75,6,9.0
2024,October,13.6,9.0,18.5,55,70,4,8.0
2024,November,5.8,1.6,10.4,48,69,5,7.0
2024,December,-1.5,-5.4,2.8,25,60,4,7.0
2025,January,-3.5,-7.7,1.0,21,58,3,7.0
2025,February,-0.8,-5.0,4.1,28,58,3,8.0
2025,March,4.2,-0.5,9.8,41,61,4,9.0
2025,April,10.7,5.6,16.3,73,65,5,10.0
2025,May,16.5,11.6,22.0,99,69,6,10.0
2025,June,21.5,17.3,26.3,144,73,7,10.0
2025,July,24.2,21.4,27.7,319,83,12,7.0
2025,August,24.8,21.7,28.4,249,81,11,9.0
2025,September,20.3,16.3,24.6,131,75,6,9.0
2025,October,13.6,9.0,18.5,55,70,4,8.0
2025,November,5.8,1.6,10.4,48,69,5,7.0
2025,December,-1.5,-5.4,2.8,25,60,4,7.0
